iter	MultiClass
177	1.080544219
178	1.080493125
179	1.080490234
180	1.080420781
181	1.080415547
182	1.080335547
183	1.080265391
184	1.080185625
185	1.080127422
186	1.080065937
187	1.080060156
188	1.080004922
189	1.079923203
190	1.079863047
191	1.079802734
192	1.079742266
193	1.079635781
194	1.079546016
195	1.079437422
196	1.079399688
197	1.079395625
198	1.079392734
199	1.079302578
200	1.079240078
201	1.079169531
202	1.0790875
203	1.079084844
204	1.079021016
205	1.078994297
206	1.078907266
207	1.078827187
208	1.078760469
209	1.078692812
210	1.078617031
211	1.078542344
212	1.078480859
213	1.07844625
214	1.078355781
215	1.078286172
216	1.078207422
217	1.078155703
218	1.078062969
219	1.077982109
220	1.077978438
221	1.077905937
222	1.077849844
223	1.077797969
224	1.077743125
225	1.077740781
226	1.077695312
227	1.077622891
228	1.077552891
229	1.077463047
230	1.077391953
231	1.077319922
232	1.077274922
233	1.077241875
234	1.077145938
235	1.077144922
236	1.077144141
237	1.077093906
238	1.077050234
239	1.076970078
240	1.076896641
241	1.076789063
242	1.076786875
243	1.076732109
244	1.076730703
245	1.076685703
246	1.076636172
247	1.076514297
248	1.076455547
249	1.076385078
250	1.076379609
251	1.076311484
252	1.076240391
253	1.076239141
254	1.076236328
255	1.076187344
256	1.076186484
257	1.076142109
258	1.076138125
259	1.0760975
260	1.076056328
261	1.075961094
262	1.075890391
263	1.075888906
264	1.075845391
265	1.075769844
266	1.075727813
267	1.075659844
268	1.075658672
269	1.075654609
270	1.075585938
271	1.075517578
272	1.075491563
273	1.075423438
274	1.075390547
275	1.075386016
276	1.075384922
277	1.075315703
278	1.075264141
279	1.075226484
280	1.075157734
281	1.075156484
282	1.075127969
283	1.075076094
284	1.075068594
285	1.075067578
286	1.074995781
287	1.074994688
288	1.074992656
289	1.074991797
290	1.074990703
291	1.074927422
292	1.074865625
293	1.074864453
294	1.074790781
295	1.074789922
296	1.074740781
297	1.074739922
298	1.074724922
299	1.074683828
300	1.074681797
301	1.074658281
302	1.074614063
303	1.074612422
304	1.074611406
305	1.074553984
306	1.074551562
307	1.074550469
308	1.074545547
309	1.074544297
310	1.074503516
311	1.074494062
312	1.074465078
313	1.074406875
314	1.074323672
315	1.074280313
316	1.074213203
317	1.074177344
318	1.074113203
319	1.074074297
320	1.073991172
321	1.073979844
322	1.073917109
323	1.073915938
324	1.073912187
325	1.073911406
326	1.073907578
327	1.073831328
328	1.07378125
329	1.073775469
330	1.073708984
331	1.073707891
332	1.073640859
333	1.073582031
334	1.073531875
335	1.073529766
336	1.073528906
337	1.073457969
338	1.073455937
339	1.073390078
340	1.073388984
341	1.073350156
342	1.073291953
343	1.07325
344	1.073242031
345	1.073241094
346	1.073191406
347	1.073185
348	1.073097656
349	1.07305375
350	1.073047031
351	1.073045078
352	1.073044297
353	1.072962109
354	1.07290625
355	1.072842656
356	1.072790391
357	1.072751406
358	1.072730078
359	1.072665703
360	1.072647188
361	1.072609844
362	1.072589141
363	1.072588047
364	1.072582969
365	1.072538125
366	1.072537109
367	1.072476484
368	1.072442266
369	1.072441328
370	1.072440312
371	1.072411719
372	1.072410937
373	1.072355313
374	1.072316172
375	1.072262266
376	1.072260703
377	1.072252578
378	1.072160938
379	1.072153906
380	1.072146953
381	1.072088437
382	1.072087031
383	1.072079531
384	1.072073828
385	1.072072891
386	1.071977734
387	1.07197625
388	1.071975312
389	1.071909297
390	1.071887734
391	1.071886797
392	1.071861016
393	1.071815391
394	1.071731094
395	1.071673828
396	1.071673047
397	1.071671875
398	1.071622891
399	1.071568047
